name,review_count,rating,price,coordinates.latitude,coordinates.longitude,location.address1,location.zip_code,location.country,location.state,price_group
Civil Goat Coffee,36,4.5,$,30.300981,-97.739005,3423 Guadalupe St,78705,US,TX,1
Epoch Coffee,827,4,$,30.3186,-97.72457,221 W North Loop Blvd,78751,US,TX,1
Mozart's Coffee Roasters,1621,4,$$,30.29554497,-97.78410316,3825 Lake Austin Blvd,78703,US,TX,2
Summer Moon Coffee,582,4.5,$$,30.39442,-97.72019,11005 Burnet Rd,78758,US,TX,2
Monkey Nest Coffee,670,4,$,30.32769,-97.73941,5353 Burnet Rd,78756,US,TX,1
Freewheelin’ Coffee,23,4.5,$$,30.257129,-97.723646,1910 E Cesar Chavez St,78702,US,TX,2
Houndstooth Coffee,559,4,$$,30.31058794,-97.74000994,4200 N Lamar Blvd,78756,US,TX,2
Coffee + Crisp Cafe,87,4.5,$,30.396676,-97.727374,3220 Amy Donovan Plz,78759,US,TX,1
Greater Goods Coffee Roasters,224,4.5,$,30.25767,-97.71501,2501 E 5th St,78702,US,TX,1
Merit Coffee,89,4,$$,30.31535,-97.73485,4615 N Lamar Blvd,78751,US,TX,2
Flightpath Coffeehouse,425,4,$,30.31386,-97.71983,5011 Duval St,78751,US,TX,1
Dear Diary Coffeehouse,64,4.5,$,30.27437,-97.72023,1212 Chicon St,78702,US,TX,1
Cure Bakery & Coffee,19,5,$,30.45403172,-97.79237859,13642 N Hwy 183,78750,US,TX,1
Mañana,244,4.5,$$,30.2474,-97.75006,1603 S Congress Ave,78704,US,TX,2
Saveurs la Boulangerie,6,4.5,$,30.33684787,-97.8042941,3801 N Capital Of Texas Hwy,78701,US,TX,1
Lamppost Coffee,256,4.5,$$,30.51036759,-97.69433173,1205 Round Rock Ave,78664,US,TX,2
Neighbor Coffee and Friends,27,5,$,30.321159,-97.739531,5000 Burnet Rd,78756,US,TX,1
Summer Moon Coffee,23,4,$,30.41470456,-97.67212156,12901 N Interstate Hwy 35,78753,US,TX,1
Merit Coffee,139,4,$$,30.267396,-97.752107,222 W Ave,78701,US,TX,2
Houndstooth Coffee,365,4,$$,30.26615398,-97.74302253,401 Congress Ave,78701,US,TX,2
Houndstooth Coffee,65,4,$$,30.40101,-97.72247,11501 Rock Rose Ave,78758,US,TX,2
Cuppa Austin,338,4.5,$,30.478224,-97.766481,9225 W Parmer Ln,78717,US,TX,1
Lucky Lab Coffee,208,4,$$,30.28855734,-97.74214421,2421 San Antonio St,78705,US,TX,2
Mi Mundo Coffeehouse And Roastery,107,4.5,$,30.50815,-97.678918,106 S Mays St,78664,US,TX,1
Bennu Coffee,192,4,$,30.25609,-97.747,515 S Congress Ave,78704,US,TX,1
Thrive Craft House,57,4.5,$,30.30175373,-97.73853964,519 W 37th St,78705,US,TX,1
Ani’s Day & Night,32,4.5,$$,30.22101,-97.6956,7107 E Riverside Dr,78741,US,TX,2
Alfred,91,4,$$,30.26278,-97.74396,111 E Cesar Chavez St,78701,US,TX,2
Medici Roasting,38,4,$,30.267716,-97.69352,1023 Springdale Rd,78721,US,TX,1
Sweetwaters Coffee & Tea,43,4.5,$,30.27501111,-97.74384557,316 W 12th St,78701,US,TX,1
Runaway Luna Lifestyle,86,4,$,30.309327,-97.940304,12800 Hill Country Blvd,78738,US,TX,1
Coffee Shark,133,4,$,30.371913,-97.802155,7300 Ranch Rd 2222,78730,US,TX,1
Greater Goods Coffee Roasters,59,4.5,$,30.30774256,-97.92700628,12005 Bee Caves Rd,78738,US,TX,1
El Tigre Coffee,20,4.5,$,30.2742699,-97.72123729,1204 Salina St,78702,US,TX,1
Summer Moon Coffee,111,4.5,$,30.421689,-97.845977,8300 N Fm 620,78726,US,TX,1
Holy Grounds,42,4.5,$,30.268513,-97.739459,301 E 8th St,78701,US,TX,1
Spread & Co,96,4.5,$$,30.3086982,-97.7504555,1601 W 38th St,78731,US,TX,2
Cafe Nena'i,177,4.5,$,30.22724,-97.70237,1700 Montopolis Dr,78741,US,TX,1
Thunderbird Coffee,449,4,$,30.28441811,-97.71937561,2200 Manor Rd,78722,US,TX,1
Cherrywood Coffeehouse,812,4,$$,30.2933197,-97.7159729,1400 E 38th 1/2 St,78722,US,TX,2
Forthright,689,4,$$,30.26273857,-97.74310461,35 Brazos St,78701,US,TX,2
Red Horn Coffee House and Brewing Company,479,4.5,$$,30.53412423,-97.7804979,13010 W Parmer Ln,78613,US,TX,2
Better Half Coffee & Cocktails,411,4,$$,30.27137,-97.75839,406 Walsh St,78703,US,TX,2
Illuminate Coffee Bar,202,4,$,30.46153313,-97.81651412,12129 Fm 620 N,78750,US,TX,1
Civil Goat Coffee Co,107,4.5,$,30.33208779,-97.86896625,704 Cuernavaca Dr N,78733,US,TX,1
Perky Beans Coffee & PB Cafe,128,4.5,$$,30.627182,-97.865148,2080 US 183,78641,US,TX,2
Epoch Coffee,310,4,$,30.35942883,-97.73461943,2700 W Anderson Ln,78757,US,TX,1
The Buzz Mill,501,4,$$,30.241682,-97.726864,1505 Town Creek Dr,78741,US,TX,2
Teal House Coffee and Bakery,139,5,$,30.153155,-97.768223,1716 E Slaughter Ln,78747,US,TX,1
Arturo's Underground Cafe,733,4.5,$$,30.2797094,-97.74192,314 W 17th St,78701,US,TX,2
Flightpath Coffeehouse,425,4,$,30.31386,-97.71983,5011 Duval St,78751,US,TX,1
Dear Diary Coffeehouse,64,4.5,$,30.27437,-97.72023,1212 Chicon St,78702,US,TX,1
Cure Bakery & Coffee,19,5,$,30.45403172,-97.79237859,13642 N Hwy 183,78750,US,TX,1
Mañana,244,4.5,$$,30.2474,-97.75006,1603 S Congress Ave,78704,US,TX,2
Saveurs la Boulangerie,6,4.5,$,30.33684787,-97.8042941,3801 N Capital Of Texas Hwy,78701,US,TX,1
Lamppost Coffee,256,4.5,$$,30.51036759,-97.69433173,1205 Round Rock Ave,78664,US,TX,2
Neighbor Coffee and Friends,27,5,$,30.321159,-97.739531,5000 Burnet Rd,78756,US,TX,1
Summer Moon Coffee,23,4,$,30.41470456,-97.67212156,12901 N Interstate Hwy 35,78753,US,TX,1
Merit Coffee,139,4,$$,30.267396,-97.752107,222 W Ave,78701,US,TX,2
Houndstooth Coffee,365,4,$$,30.26615398,-97.74302253,401 Congress Ave,78701,US,TX,2
Houndstooth Coffee,65,4,$$,30.40101,-97.72247,11501 Rock Rose Ave,78758,US,TX,2
Cuppa Austin,338,4.5,$,30.478224,-97.766481,9225 W Parmer Ln,78717,US,TX,1
